Код,Наименование,Биоматериал,Тип результата,Лаборатория исполнения,"Алматы, СРОК","Партнерская цена, в тенге.",Цена для клиентов на сайте checkdoc
139,"СОЭ (скорость оседания эритроцитов) (Erythrocyte Sedimentation Rate, ESR)",Капиллярная кровь; Цельная кровь,Кол,Алматы,1,  792 ,  1 109 
1515КЗХ,"Клинический анализ крови: общий анализ, лейкоформула, СОЭ (с микроскопией мазка крови при наличии патологических сдвигов) (Clinical Blood Analysis: General Blood Analysis, Leucocyte Formula, ESR (with Microscopic Examination of Blood Smear if Presence of Pathologic Changes))",Капиллярная кровь; Цельная кровь,Кол,Алматы,1,  1 169 ,  1 636 
5KZ,"Общий анализ крови (ОАК) (без лейкоцитарной формулы и СОЭ) (General Blood Analysis, without White Blood Cell (WBC) Count and ESR)",Капиллярная кровь; Цельная кровь,Кол,Алматы,1,  490 ,  686 
119,"Лейкоцитарная формула (дифференцированный подсчет лейкоцитов, лейкоцитограмма) с микроскопией мазка крови при наличии патологических сдвигов (Leucocyte Formula (Differential White Blood Cell Count) with Microscopic Examination of Blood Smear if Presence of Pathologic Changes)*",Капиллярная кровь; Цельная кровь,Кол,Алматы,1,  792 ,  1 109 
150,Ретикулоциты (Reticulocytes),Капиллярная кровь; Цельная кровь,Кол,Алматы,1,  792 ,  1 109 
TROКЗХ,"Тромбоциты, микроскопия (подсчет в окрашенном мазке по методу Фонио) (Platelets, Microscopy (Manual Platelet Count (PLT Count): Indirect Method by Fonio))*",Цельная кровь,Кол,Алматы,1,  712 ,  997 
TROG,"Тромбоциты, микроскопия (подсчет в окрашенном мазке по методу Фонио) (Platelets, Microscopy (Manual Platelet Count (PLT Count): Indirect Method by Fonio))*",Капиллярная кровь,Кол,Алматы,1,  712 ,  997 
1600,Осмотическая резистентность эритроцитов,Цельная кровь,ПКол,МСК,до 9,  9 672 ,  13 541 
1618,Электрофорез гемоглобина. Гемоглобинопатии,Цельная кровь,ПКол,МСК,до 9,  19 512 ,  27 317 
1620,"G6PD эритроцитов, активность",Цельная кровь,Кол,МСК,до 9,  15 832 ,  22 165 
93,"Группа крови (Blood Group, АВ0)",Цельная кровь,Кач,МСК, до 2,  1 112 ,  1 557 
94,"Резус-принадлежность (резус-фактор) (Rh-factor, Rh)",Цельная кровь,Кач,МСК, до 2,  1 112 ,  1 557 
15RH,"Rh (C, E, c, e) Kell-фенотипирование (Rh C (E, c, e) Kell-Phenotyping)",Цельная кровь,Кач,МСК, до 2,  5 000 ,  7 000 
140,"Аллоиммунные антитела, включая антитела к Rh-антигену (Anti Rh)",Цельная кровь,Полукол,Алматы, до 2,  4 990 ,  6 986 
1375CO,Прямая Проба Кумбса,Цельная кровь,Кач,Алматы,до 2,  5 128 ,  7 179 
1576,Исследование TREC и KREC для диагностики иммунодефицитов,Капиллярная кровь,Кол,МСК,до 8,  22 392 ,  31 349 
1,"Активированное частичное (парциальное) тромбопластиновое время (АЧТВ (АПТВ), кефалин-каолиновое время) (Activated Partial Thromboplastin Time, APTT)",Плазма крови,Кол,Алматы,1,  1 032 ,  1 445 
1153,Плазминоген (Plasminogen),Плазма крови,Кол,МСК, до 2,  3 992 ,  5 589 
1412,"Анти-Ха активность, МЕ/мл (Гепарин, концентрация, МЕ/мл), Anti-Xa activity, IU/ml (Heparin concentration, IU/ml)",Плазма крови,Кол,МСК,до 3,  9 824 ,  13 754 
1413,"Фактор Виллебранда, антиген, % (Willebrand Factor, Antigen, %)",Плазма крови,Кол,МСК,до 9,  19 992 ,  27 989 
2,"Протромбин (протромбиновое время, ПВ), МНО (Международное нормализованное отношение) (Prothrombin, Рrothrombin Time, PT, International Normalized Ratio, INR)",Плазма крови,Кол,Алматы,1,  1 032 ,  1 445 
1409,"Фактор VIII (антигемофильный глобулин А) (Antihemophilic Globulin A, FVIII)",Плазма крови,Кол,МСК,до 9,  4 312 ,  6 037 
1410,"Фактор IX, активность, % (фактор Кристмаса, антигемофильный фактор «В») Factor IX, Activity,% (Christmas Factor, anti-hemophilic globulin “B”)",Плазма крови,Кол,МСК,до 9,  4 312 ,  6 037 
3,"Фибриноген (Fibrinogen, FG)",Плазма крови,Кол,Алматы,1,  1 032 ,  1 445 
4,"Антитромбин III, % активности (АТ III, Antithrombin III, % Activity)",Плазма крови,Кол,МСК, до 2,  2 392 ,  3 349 
194,"Тромбиновое время (ТВ) (Thrombin Time, TT)",Плазма крови,Кол,Алматы,1,  1 032 ,  1 445 
164,D-димер (D-Dimer),Плазма крови,Кол,Алматы,до 2,  4 864 ,  6 810 
190,"Волчаночный антикоагулянт (ВА) (Lupus Anticoagulant, LA )",Плазма крови,Полукол,МСК, до 2,  5 752 ,  8 053 
1263,"Протеин C, % активности (Protein C, % Activity)",Плазма крови,Кол,МСК, до 2,  9 592 ,  13 429 
1264,"Протеин S свободный (Protein S, Free)",Плазма крови,Кол,МСК, до 2,  17 592 ,  24 629 
16,Глюкоза (Glucose),Плазма крови; Сыворотка крови,Кол,Алматы,1,  1 104 ,  1 546 
17,Фруктозамин (Fructosamine),Сыворотка крови,Кол,МСК,до 4,  5 592 ,  7 829 
18,"Гликированный гемоглобин HbA1С (HbA1С, Glycated Hemoglobin, GHB)",Цельная кровь,Кол,Алматы,1,  2 464 ,  3 450 
215,Лактат (Lactate),Плазма крови,Кол,МСК, до 2,  1 592 ,  2 229 
ГТТ,"Глюкозо-толерантный тест с определением глюкозы в венозной крови натощак и после нагрузки через 2 часа (2-Hour Oral Glucose Tolerance Test, OGTT, Glucose Concentration (Fasting and 2 Hours after Load), Venous Blood)",Плазма крови,Кол,Алматы,до 3,  1 912 ,  2 677 
ГТГСКЗХ,"Глюкозо-толерантный тест с определением глюкозы и С-пептида в венозной крови натощак и после нагрузки через 2 часа (2-Hour Oral Glucose Tolerance Test, OGTT, Glucose and C-Protein Concentration (Fasting and 2 Hours after Load), Venous Blood)",Плазма крови,Кол,МСК,до 3,  5 592 ,  7 829 
ГТБ-С,"Глюкозотолерантный тест при беременности (пероральный глюкозотолерантный тест, ГТТ, ОГТТ) Oral Glucose Tolerance Test, Plasma, OGTT, Pregnancy",Плазма крови; Сыворотка крови,Кол,Алматы, до 2,  1 752 ,  2 453 
30,Триглицериды (ТГ) (Triglycerides),Сыворотка крови,Кол,Алматы,1,  1 104 ,  1 546 
31,Холестерин общий (Холестерин) (Cholesterol Total),Сыворотка крови,Кол,Алматы,1,  1 104 ,  1 546 
32,"Холестерин ЛПВП (Холестерин липопротеинов высокой плотности, ЛПВП, α-холестерин) (High-Density Lipoprotein Cholesterol, HDL Cholesterol)",Сыворотка крови,Кол,Алматы,1,  1 104 ,  1 546 
33,"Холестерин ЛПНП (Холестерин липопротеинов низкой плотности, ЛПНП, β-холестерин) (Low-Density Lipoprotein Cholesterol, LDL Cholesterol)*",Сыворотка крови,Кол,Алматы,1,  1 104 ,  1 546 
1644,Холестерин ЛПНП (прямой метод) Cholesterol LDL (direct),Сыворотка крови,Кол,Алматы,1,  1 000 ,  1 400 
218,"Холестерин-ЛПОНП (Холестерин липопротеинов очень низкой плотности, ЛПОНП, VLDL Cholesterol)",Сыворотка крови,Кол,МСК,1,  1 592 ,  2 229 
1071,"Липопротеин (a), ЛП (а) (Lipoprotein (a), Lp (a))",Сыворотка крови,Кол,МСК, до 2,  3 448 ,  4 827 
219,"Аполипопротеин А1 (Апопротеин А1, апо А1) (Apolipoprotein A1, Apo A1)",Сыворотка крови,Кол,МСК, до 2,  1 752 ,  2 453 
220,"Аполипопротеин B (Апопротеин B, апо В) (Apolipoprotein B, Apo B)",Сыворотка крови,Кол,МСК, до 2,  2 232 ,  3 125 
1512BILE,Желчные кислоты (Bile Acids),Сыворотка крови,Кол,МСК, до 2,  11 992 ,  16 789 
10,Альбумин (Albumin),Сыворотка крови,Кол,Алматы,1,  1 104 ,  1 546 
28,Общий белок (Protein Total),Сыворотка крови,Кол,Алматы,1,  1 104 ,  1 546 
29КЗХ,"Белковые фракции (Serum Protein Electrophoresis, SPE, SPEР)*",Сыворотка крови,Кол,МСК,до 3,  3 192 ,  4 469 
4050,"М-градиент, скрининг. Электрофорез сыворотки крови, иммунофиксация с поливалентной антисывороткой, количественная оценка М-белка (без типирования) (M-Gradient, Screening. Serum Protein Electrophoresis (SPEP), Immunofixation with Polyvalent Antiserum, Quantification of M-Protein (without Typing))",Сыворотка крови,Кол,МСК,до 13,  11 992 ,  16 789 
4051,"М-градиент, типирование. Электрофорез сыворотки крови, иммунофиксация с панелью антисывороток (раздельно к IgG, IgA, IgM, каппа, лямбда), количественная оценка М-белка (M-Gradient, Typing. Serum Protein Electrophoresis (SPEP), Immunofixation with Antisera (IgG, IgA, IgM, Kappa, Lambda), Quantification of M-Protein)",Сыворотка крови,Кол,МСК,до 13,  18 392 ,  25 749 
1551,"Электрофорез белков мочи, определение типа протеинурии (Urine Protein Electrophoresis)",Моча,Полукол. + Заключ.,МСК,до 11,  7 232 ,  10 125 
1552,"Белок Бенс-Джонса в моче, скрининг с применением иммунофиксации и количественное определение (Bence-Jones Protein, Urine, Immunofixation, Quantification )",Моча,Кол. + Заключ.,МСК,до 11,  18 392 ,  25 749 
