Код,Наименование,Цена,Цена со скидкой,Сроки выполнения
,ОБЩЕКЛИНИЧЕСКИЕ ИССЛЕДОВАНИЯ,,,
01-004,Кровь на свертываемость (По Сухареву),"1,5",1050,1-3
01-010,Кровь на толстую каплю,"2,15",1505,2-4
01-006,Кровь. Гематокрит,"1,3",910,1-3
01-003,Кровь. Лейкоциты,"1,3",910,1-3
10-001,Кровь. Микрореакция,"1,6",1120,1-3
01-101,"Кровь. Общий анализ (эритроциты, гемоглобин, лейкоциты, тромбоциты, лейкоформула), капиллярная кровь","1,75",1225,1-3
01-002 пакет,"Кровь. Общий анализ (ОАК: эритроциты, гемоглобин, лейкоциты, тромбоциты, СОЭ)","1,95",1365,1-3
01-022,"Кровь. Общий анализ крови (ОАК, 34 параметра)","1,75",1225,1-3
04-066,Кровь. Определение осмотической резистентности эритроцитов,"1,4",980,1-3
04-067,Подсчет ретикулоцитов с определением степени созревания на анализаторе,1,700,1-3
10-273,Прямая проба Кумбса (прямой антиглобулиновый тест),"6,4",5440,3-5
10-334,Определение титра и антител резуса в крови,"2,6",2210,2-4
05-001,Кровь. Определение группы крови АВО + Резус фактор,"2,15",1505,2-4
01-007 пакет,"Кровь. Развёрнутый общий анализ крови ( эритроциты, гемоглобин, лейкоциты, тромбоциты, СОЭ, ретикулоциты)","2,6",1820,1-3
15-303 пакет,Проверка воспаления (ОАК развернутый + СОЭ+ СРБ),"4,8",4320,1-3
04-065,Кровь. Подсчет эритроцитов с базофильной зернистостью,"1,4",980,1-3
01-005,Кровь. Тромбоциты,"1,3",910,1-3
01-012,Кровь.Длительность кровотечения (Астана),"1,1",770,1-3
06-018,Агрегация тромбоцитов ( с набором индукторов),"10,65",7455,1-3
06-044,Фактор свертывания крови - Х (Фактор Стюарта–Прауэр),"14,95",12710,9-11
06-045,Агрегация тромбоцитов (АДФ),"4,2",2940,1-3
06-046,Агрегация тромбоцитов (адреналин),"4,2",2940,1-3
06-011,Этаноловый тест,2500,2125,3-4
01-016,Измерение скорости оседания эритроцитов (СОЭ) в крови,"1,1",770,1-3
13-013,Гаптоглобин в крови,"5,15",4380,7-9
07-288,Гастрин,"8,25",7015,12-14
03-018,Зонулин в кале,"51,45",43735,14-16
01-026,Исследование ногтей/волос/соскоба на патогенные грибы (микозы),"3,75",3190,7-8
03-001,Кал на скрытую кровь (iFOB-test),"4,6",3220,1-3
03-010,Кал на эластазу панкреатическую,"11,3",9605,12-14
03-011,Кал. Определение альфа-1 антитрипсина,"17,05",14495,16-18
03-012,Кал. Содержание углеводов (проба Бенедикта),"4,8",4080,5-7
05-057,"Кал. Кальпротектин, качественное определение","11,2",7840,1-3
05-005,"Кал. Кальпротектин, количественное определение","12,8",8960,3-8
03-002,Кал. Копрограмма,"1,95",1365,1-3
03-013,Кал. Копрограмма (развертнутый анализ),"4,3",3010,1-3
04-005,Мазок на степень чистоты,"2,15",1505,1-3
04-009,"Мазок на степень чистоты, с окрашиванием по Граму","2,8",1960,1-3
04-050,*МАР-тест ( IgA) в сперме,"6,4",4480,1-3
04-051,*МАР-тест (IgG) в сперме,"6,4",4480,1-3
02-004,Моча по Зимницкому,"1,75",1225,1-3
02-003,Моча по Нечипоренко,"1,5",1050,1-3
02-001,Моча. Общий анализ (ОАМ),"1,5",1050,1-3
02-007,Моча. Определение глюкозы,"1,3",910,1-3
02-013,Моча. Определение желчных пигментов,"1,1",770,1-3
02-011,Моча. Определение кетоновых тел (ацетона),"1,1",770,1-3
02-010,Моча. Определение суточной экскреции глюкозы,"1,1",770,1-3
02-012,Моча. Определение уробилиногена,"1,3",910,1-3
16-019 пакет,Моча. 2-стаканная проба,"2,15",1935,1-3
16-020 пакет,Моча. 3-стаканная проба,"2,8",2520,1-3
02-018,Моча.17-КС в суточной моче,"11,4",9690,7-9
02-028,"Моча.17-КС в суточной моче. Развернутый, от 18 лет","12,6",10710,7-9
04-069,"Исследование мочевого осадка с подсчетом абсолютного количества всех клеточных элементов (лейкоциты, эритроциты, бактерии, цилиндры, эпителий) на анализаторе","1,5",1050,1-3
04-070,Моча. Анализ мочевого осадка Аддиса-Каковского,"2,1",1470,1-3
04-071,Анализ мочевого осадка по Амбурже ручным методом,"2,1",1470,1-3
15-092 пакет,Общий анализ крови (ОАК)+СРБ,"3,55",3195,1-3
04-010,Отделяемое конъюнктивы. Микроскопическое исследование,"1,6",1120,1-3
07-056 пакет,Проба Реберга (Креатинин в сыворотке+ Креатинин в суточной моче + клиренс по эндогеннному креатинину),3,2700,1-3
00-003,Ресницы. Обнаружение демодекса,"1,75",1225,1-3
